"day_local","take_off","datetime_utc","epoch","dji_lat","dji_long","dji_alt","temp","hum","pres","dewtemp","temp_k","svp","avp","mratio","pottemp","vpottemp","dji_status"
"20230309","15",2023-03-09 05:14:06,1678338846,-23.5044891476023,152.093511322721,508.42,24.07,91.6,952.3,22.62,297.57,29.9061662622071,27.3940482961817,18.4216310722069,301.754515752838,305.145390074617,"descent"
"20230309","15",2023-03-09 05:14:07,1678338847,-23.5044892361494,152.093511361961,505.61,24.13,92.2,952.62,22.78,297.63,30.0140667288912,27.6729695240377,18.6083703041988,301.786389010633,305.211998267114,"descent"
"20230309","15",2023-03-09 05:14:08,1678338848,-23.5044894621092,152.093511675586,502.74,24.1,92.5,952.97,22.81,297.6,29.9600739791149,27.7130684306813,18.6290927241105,301.724301115549,305.153019604934,"descent"
"20230309","15",2023-03-09 05:14:09,1678338849,-23.5044895040937,152.093511738649,499.73,24.12,92.7,953.29,22.86,297.62,29.9960596905246,27.8063473331163,18.6872170037166,301.715634959763,305.154952541547,"descent"
"20230309","15",2023-03-09 05:14:10,1678338850,-23.5044896602811,152.093511847095,496.64,24.12,92.9,953.67,22.9,297.62,29.9960596905246,27.8663394524973,18.721061373877,301.68128097963,305.126435183337,"descent"
"20230309","15",2023-03-09 05:14:11,1678338851,-23.5044898846821,152.093511937151,493.42,24.13,93,953.94,22.93,297.63,30.0140667288912,27.9130820578688,18.7479427553936,301.667017904855,305.116955854406,"descent"
"20230309","15",2023-03-09 05:14:12,1678338852,-23.5044898179656,152.093511950958,490.62,24.12,93,954.34,22.92,297.62,29.9960596905246,27.8963355121879,18.7282664489998,301.620752339456,305.066540967436,"descent"
"20230309","15",2023-03-09 05:14:13,1678338853,-23.5044898396958,152.093512063711,487.78,24.15,93.3,954.59,23,297.65,30.0501091919973,28.0367518761335,18.8203091400394,301.628582020388,305.091395347436,"descent"
"20230309","15",2023-03-09 05:14:14,1678338854,-23.5044898328286,152.093512135623,484.81,24.15,93.6,954.9,23.05,297.65,30.0501091919973,28.1269022037095,18.8763456829284,301.600601318234,305.073402815518,"descent"
"20230309","15",2023-03-09 05:14:15,1678338855,-23.504489925985,152.093512117454,481.61,24.15,93.6,955.25,23.05,297.65,30.0501091919973,28.1269022037095,18.869219637849,301.569024236238,305.040151250352,"descent"
"20230309","15",2023-03-09 05:14:16,1678338856,-23.504490075552,152.093512284694,478.51,24.18,93.6,955.61,23.08,297.68,30.104243915781,28.177572305171,18.896907336104,301.566952191623,305.043148669852,"descent"
"20230309","15",2023-03-09 05:14:17,1678338857,-23.5044901140366,152.093512200796,475.66,24.22,93.6,955.85,23.12,297.72,30.1765563122882,28.2452567083018,18.9387801667785,301.585835624834,305.069953008645,"descent"
