Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2023/03/09 12:34:28.7264,1.390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,35.84,47.3,40.01,2023/03/09,01:46:44,152.0914929,-23.5067587,14.459,11,
2023/03/09 12:34:28.7564,1.420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.32,34.73,47.1,39.9,2023/03/09,01:46:45,152.0914929,-23.5067594,14.51,11,
2023/03/09 12:34:28.7764,1.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,33.93,46.9,39.85,2023/03/09,01:46:46,152.0914972,-23.5067625,14.959,11,
2023/03/09 12:34:28.7964,1.460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,32.85,46.7,39.79,2023/03/09,01:46:47,152.0915027,-23.5067665,15.402,11,
2023/03/09 12:34:28.8263,1.490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.32,32.11,47.1,39.59,2023/03/09,01:46:48,152.0915085,-23.5067693,16.044,11,
2023/03/09 12:34:28.8563,1.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,32.41,47.2,39.62,2023/03/09,01:46:49,152.0915092,-23.5067694,16.703,12,
2023/03/09 12:34:28.8763,1.540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,32.62,47.3,39.66,2023/03/09,01:46:50,152.0915101,-23.5067706,17.038,12,
2023/03/09 12:34:28.9063,1.570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,32.97,47.1,39.76,2023/03/09,01:46:51,152.0915102,-23.5067712,17.272,12,
2023/03/09 12:34:28.9361,1.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,34.05,46.7,39.94,2023/03/09,01:46:52,152.0915097,-23.5067715,17.607,12,
2023/03/09 12:34:28.9563,1.620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,34.79,46.6,40.08,2023/03/09,01:46:53,152.0915098,-23.5067735,17.817,12,
